标题,标签,信息,关注,关键词,价格,价格1,价格2
"
                
                                  低楼层
                                    (共16层)
                                                                      | 2019年建 |
                                2室2厅 | 88.17平米
                                  | 南 北
                
              ",,伟业上城2号院,"
                
                0人关注
                / 5天前发布               ","
                                                                    VR看装修
                                                                      新上
                                                                      随时看房
                                                ", 108.5,万,"12,306元/平"
"
                
                                  高楼层
                                    (共34层)
                                                                      | 2019年建 |
                                3室2厅 | 114.63平米
                                  | 南
                
              ",,金地格林小城三期,"
                
                1人关注
                / 5天前发布               ","
                                                                    VR看装修
                                                                      新上
                                                                      随时看房
                                                ", 71,万,"6,194元/平"
"
                
                                  高楼层
                                    (共34层)
                                                                  3室1厅 | 119.24平米
                                  | 南 北
                
              ",,锦艺金水湾观澜苑,"
                
                5人关注
                / 4天前发布               ","
                                                                    满两年
                                                                      VR看装修
                                                                      新上
                                                                      随时看房
                                                ", 166,万,"13,922元/平"
"
                
                                  中楼层
                                    (共27层)
                                                                      | 2013年建 |
                                2室1厅 | 83平米
                                  | 南
                
              ",,正商新蓝钻E区,"
                
                1人关注
                / 4天前发布               ","
                                                                    满五年
                                                                      VR看装修
                                                                      新上
                                                                      随时看房
                                                ", 120,万,"14,458元/平"
"
                
                                  中楼层
                                    (共17层)
                                                                      | 2012年建 |
                                3室2厅 | 112.43平米
                                  | 南 北
                
              ",,曙光苑,"
                
                2人关注
                / 5天前发布               ","
                近地铁                                                    满五年
                                                                      VR看装修
                                                                      新上
                                                ", 262,万,"23,304元/平"
,,,,,,,
"
                
                                  低楼层
                                    (共11层)
                                                                      | 2007年建 |
                                1室0厅 | 33.23平米
                                  | 西
                
              ",,开祥天下城,"
                
                0人关注
                / 5天前发布               ","
                近地铁                                                    满五年
                                                                      VR看装修
                                                                      新上
                                                ", 98,万,"29,492元/平"
"
                
                                  高楼层
                                    (共34层)
                                                                      | 2017年建 |
                                3室2厅 | 94.05平米
                                  | 南
                
              ",,升龙城11号院,"
                
                3人关注
                / 6天前发布               ","
                近地铁                                                    满两年
                                                                      VR看装修
                                                                      新上
                                                                      随时看房
                                                ", 125,万,"13,291元/平"
"
                
                                  中楼层
                                    (共26层)
                                                                      | 2010年建 |
                                1室1厅 | 49.86平米
                                  | 北
                
              ",新上,天明森林国际公寓,"
                
                0人关注
                / 2天前发布               ","
                近地铁                                                    满五年
                                                                      VR看装修
                                                                      新上
                                                                      随时看房
                                                ", 50,万,"10,029元/平"
"
                
                                  高楼层
                                    (共27层)
                                                                      | 2012年建 |
                                2室1厅 | 91.34平米
                                  | 东 南
                
              ",新上,海马公园A区,"
                
                3人关注
                / 3天前发布               ","
                                                                    满五年
                                                                      VR看装修
                                                                      新上
                                                                      随时看房
                                                ", 213,万,"23,320元/平"
