标题,标记,类型,名称,位置,resblockroom,area,resblockroom1,resblockroom2,resblockroom3,名称4,关键词,数量,描述,second
龙湖熙上,效果图,在售,住宅,"
			管城回族区/橄榄城/文德路鼎瑞街龙湖熙上
		",3室,建面 94-117㎡,建面 94-117㎡,,,新房顾问：赵海洋,"
										低总价
							品牌房企
							VR看房
							绿化率高
			
		",12200, 元/㎡(均价),总价125-145(万/套)
华润琨瑜府,效果图,在售,住宅,"
			中原区/五龙口/金水西路沿线（嵩山路-秦岭路之间)
		",1室,建面 46-166㎡,2室,3室,4室,新房顾问：赵海洋,"
										地铁沿线
							近主干道
							配套齐全
							成熟商圈
			
		",15000, 元/㎡(均价),总价59-245(万/套)
电建洺悦天玺,效果图,在售,住宅,"
			二七区/万客来/河南省郑州市二七区
		",3室,建面 89-117㎡,建面 89-117㎡,,,新房顾问：王剑平,"
										低单价
							低总价
							多轨交汇
							近主干道
			
		",9200, 元/㎡(均价),总价78-115(万/套)
东方宇亿万林府,效果图,在售,住宅,"
			金水区/杨金路/东三环与杨金路交叉口往西800米路南
		",3室,建面 90-202㎡,4室,建面 90-202㎡,,新房顾问：赵海洋,"
										购物方便
							美食云集
							医疗配套
							3D楼书
			
		",16500, 元/㎡(均价),总价160-383(万/套)
汇泉西悦城,效果图,在售,住宅,"
			中原区/常西湖/陇海路与西四环交汇口西南侧
		",2室,建面 83-114㎡,3室,建面 83-114㎡,,新房顾问：杨亚龙,"
										低单价
							低总价
							多轨交汇
							近主干道
			
		",10000, 元/㎡(均价),总价78-180(万/套)
华发峰景湾,效果图,在售,住宅,"
			郑州经济技术开发区/滨河国际新城商圈/滨河国际新城经开十七大街与经南十三路交叉口东南角
		",3室,建面 89-118㎡,建面 89-118㎡,,,新房顾问：张冰亮,"
										3D楼书
							视频看房
							绿化率高
							大型社区
			
		",16000, 元/㎡(均价),总价130-180(万/套)
宜居•小乔书苑,效果图,在售,住宅,"
			新郑市/航空港商圈/河南省郑州市新郑市S102(郑新快速通道)
		",3室,建面 89-114㎡,建面 89-114㎡,,,新房顾问：吴壮,"
										低总价
							视频看房
							品牌房企
							现房
			
		",6888, 元/㎡(均价),总价61-83(万/套)
东原阅城,效果图,在售,住宅,"
			郑州高新技术产业开发区/省体育中心/河南省郑州市高新区西三环与三全路交叉口
		",2室,建面 77-129㎡,3室,4室,建面 77-129㎡,新房顾问：李龙,"
										低总价
							公交直达
							多轨交汇
							成熟商圈
			
		",13000, 元/㎡(均价),总价107-180(万/套)
世茂云尚城,效果图,在售,住宅,"
			管城回族区/正商城/新郑路和航海路交汇处
		",1室,建面 58-113㎡,2室,3室,建面 58-113㎡,新房顾问：赵海洋,"
										低单价
							低总价
							地铁沿线
							公交直达
			
		",9800, 元/㎡(均价),总价64-113(万/套)
信保春风十里,效果图,在售,住宅,"
                        郑州经济技术开发区/滨河国际新城商圈/管城回族区滨河国际新城经南十二路与经开第十九大街交汇处
                    ",2室,建面 85-151㎡,3室,建面 85-151㎡,,,"
                        

                        
                            近主干道
                        
                            购物方便
                        
                            美食云集
                        
                            医疗配套
                        
                    ",16000, 元/㎡(均价),总价141-237(万/套)
永威城,效果图,在售,住宅,"
                        管城回族区/蓝钻商圈/中州大道南三环向南500米路西
                    ",3室,建面 88-145㎡,4室,建面 88-145㎡,,,"
                        

                        
                            低总价
                        
                            地铁沿线
                        
                            公交直达
                        
                            配套齐全
                        
                    ",14200, 元/㎡(均价),总价137-226(万/套)
永丰乐城,效果图,在售,住宅,"
                        新郑市/南龙湖商圈/紫荆山南路与祥云路交叉口
                    ",2室,建面 69-162㎡,3室,4室,建面 69-162㎡,,"
                        

                        
                            地铁沿线
                        
                            公交直达
                        
                            配套齐全
                        
                            购物方便
                        
                    ",9000, 元/㎡(均价),总价57-170(万/套)
谦祥时光序,效果图,在售,住宅,"
                        惠济区/南阳路/京广快速路与兴隆铺路交汇处东南角
                    ",2室,建面 69-116㎡,3室,建面 69-116㎡,,,"
                        

                        
                            近主干道
                        
                            临近高速
                        
                            配套齐全
                        
                            成熟商圈
                        
                    ",14300, 元/㎡(均价),总价93-174(万/套)
