标题,类型,名称,位置,resblockroom,area,resblockroom1,resblockroom2,resblockroom3,关键词,数量,描述,second
龙湖熙上,在售,住宅,"
			管城回族区/橄榄城/文德路鼎瑞街龙湖熙上
		",3室,建面 94-117㎡,建面 94-117㎡,,,"
										低总价
							品牌房企
							VR看房
							绿化率高
			
		",12200, 元/㎡(均价),总价125-145(万/套)
华润琨瑜府,在售,住宅,"
			中原区/五龙口/金水西路沿线（嵩山路-秦岭路之间)
		",1室,建面 46-166㎡,2室,3室,4室,"
										地铁沿线
							近主干道
							配套齐全
							成熟商圈
			
		",15000, 元/㎡(均价),总价59-245(万/套)
电建洺悦天玺,在售,住宅,"
			二七区/万客来/河南省郑州市二七区
		",3室,建面 89-117㎡,建面 89-117㎡,,,"
										低单价
							低总价
							多轨交汇
							近主干道
			
		",9200, 元/㎡(均价),总价78-115(万/套)
东方宇亿万林府,在售,住宅,"
			金水区/杨金路/东三环与杨金路交叉口往西800米路南
		",3室,建面 90-202㎡,4室,建面 90-202㎡,,"
										购物方便
							美食云集
							医疗配套
							3D楼书
			
		",16500, 元/㎡(均价),总价160-383(万/套)
汇泉西悦城,在售,住宅,"
			中原区/常西湖/陇海路与西四环交汇口西南侧
		",2室,建面 83-114㎡,3室,建面 83-114㎡,,"
										低单价
							低总价
							多轨交汇
							近主干道
			
		",10000, 元/㎡(均价),总价78-180(万/套)
华发峰景湾,在售,住宅,"
			郑州经济技术开发区/滨河国际新城商圈/滨河国际新城经开十七大街与经南十三路交叉口东南角
		",3室,建面 89-118㎡,建面 89-118㎡,,,"
										3D楼书
							视频看房
							绿化率高
							大型社区
			
		",16000, 元/㎡(均价),总价130-180(万/套)
宜居•小乔书苑,在售,住宅,"
			新郑市/航空港商圈/河南省郑州市新郑市S102(郑新快速通道)
		",3室,建面 89-114㎡,建面 89-114㎡,,,"
										低总价
							视频看房
							品牌房企
							现房
			
		",6888, 元/㎡(均价),总价61-83(万/套)
东原阅城,在售,住宅,"
			郑州高新技术产业开发区/省体育中心/河南省郑州市高新区西三环与三全路交叉口
		",2室,建面 77-129㎡,3室,4室,建面 77-129㎡,"
										低总价
							公交直达
							多轨交汇
							成熟商圈
			
		",13000, 元/㎡(均价),总价107-180(万/套)
世茂云尚城,在售,住宅,"
			管城回族区/正商城/新郑路和航海路交汇处
		",1室,建面 58-113㎡,2室,3室,建面 58-113㎡,"
										低单价
							低总价
							地铁沿线
							公交直达
			
		",9800, 元/㎡(均价),总价64-113(万/套)
信保春风十里,在售,住宅,"
                        郑州经济技术开发区/滨河国际新城商圈/管城回族区滨河国际新城经南十二路与经开第十九大街交汇处
                    ",2室,建面 85-151㎡,3室,建面 85-151㎡,,"
                        

                        
                            近主干道
                        
                            购物方便
                        
                            美食云集
                        
                            医疗配套
                        
                    ",16000, 元/㎡(均价),总价141-237(万/套)
永威城,在售,住宅,"
                        管城回族区/蓝钻商圈/中州大道南三环向南500米路西
                    ",3室,建面 88-145㎡,4室,建面 88-145㎡,,"
                        

                        
                            低总价
                        
                            地铁沿线
                        
                            公交直达
                        
                            配套齐全
                        
                    ",14200, 元/㎡(均价),总价137-226(万/套)
永丰乐城,在售,住宅,"
                        新郑市/南龙湖商圈/紫荆山南路与祥云路交叉口
                    ",2室,建面 69-162㎡,3室,4室,建面 69-162㎡,"
                        

                        
                            地铁沿线
                        
                            公交直达
                        
                            配套齐全
                        
                            购物方便
                        
                    ",9000, 元/㎡(均价),总价57-170(万/套)
谦祥时光序,在售,住宅,"
                        惠济区/南阳路/京广快速路与兴隆铺路交汇处东南角
                    ",2室,建面 69-116㎡,3室,建面 69-116㎡,,"
                        

                        
                            近主干道
                        
                            临近高速
                        
                            配套齐全
                        
                            成熟商圈
                        
                    ",14300, 元/㎡(均价),总价93-174(万/套)
兴港和昌盛世城邦,在售,住宅,"
                        航空港区/航空港商圈/新港十一路与航兴路交汇处
                    ",3室,建面 89-180㎡,4室,建面 89-180㎡,,"
                        

                        
                            低单价
                        
                            低总价
                        
                            公交直达
                        
                            近主干道
                        
                    ",7600, 元/㎡(均价),总价72-102(万/套)
忆江南度假区,在售,住宅,"
                        荥阳市/邙山/江山路与沿黄快速路交汇处向西4000米
                    ",2室,建面 87-123㎡,3室,建面 87-123㎡,,"
                        

                        
                            公交直达
                        
                            近主干道
                        
                            购物方便
                        
                            美食云集
                        
                    ",8000, 元/㎡(均价),总价74-105(万/套)
谦祥世茂万华城,在售,住宅,"
                        郑州高新技术产业开发区/高新石佛/西三环科学大道向西800米
                    ",2室,建面 69-142㎡,3室,4室,建面 69-142㎡,"
                        

                        
                            低总价
                        
                            多轨交汇
                        
                            近主干道
                        
                            配套齐全
                        
                    ",12500, 元/㎡(均价),总价84-198(万/套)
碧桂园万山湖壹号,在售,住宅,"
                        荥阳市/荥阳城区/陇海路与滨河路交叉口向南1500米
                    ",3室,建面 118-145㎡,4室,建面 118-145㎡,,"
                        

                        
                            近主干道
                        
                            临近高速
                        
                            亲子乐园
                        
                            三甲医院
                        
                    ",8250, 元/㎡(均价),总价112-138(万/套)
荣盛花语水岸,在售,住宅,"
                        郑州高新技术产业开发区/高新万科/农业西路与西四环交会处北500米
                    ",,,,,,"
                        

                        
                            低单价
                        
                            低总价
                        
                            公交直达
                        
                            多轨交汇
                        
                    ",11000, 元/㎡(均价),总价130(万/套)
融侨城,在售,住宅,"
                        新郑市/南龙湖商圈/紫荆山南路与阳光大道向东200米路北
                    ",3室,建面 86-137㎡,4室,建面 86-137㎡,,"
                        

                        
                            近主干道
                        
                            配套齐全
                        
                            购物方便
                        
                            医疗配套
                        
                    ",7200, 元/㎡(均价),总价60-94(万/套)
瀚宇天悦湾,在售,住宅,"
                        荥阳市/荥阳城区/郑上新区郑上路与万山路交汇处向西300米
                    ",2室,建面 70-242㎡,3室,4室,5室,"
                        

                        
                            低单价
                        
                            近主干道
                        
                            配套齐全
                        
                            购物方便
                        
                    ",6000, 元/㎡(均价),总价42-160(万/套)
路劲国际城,在售,住宅,"
                        中牟县/中牟城区/商都大道与兴安街交叉口路西
                    ",2室,建面 78-291㎡,3室,4室,6室,"
                        

                        
                            成熟商圈
                        
                            购物方便
                        
                            医疗配套
                        
                            视频看房
                        
                    ",8600, 元/㎡(均价),总价67-378(万/套)
和昌水岸花城,在售,住宅,"
                        惠济区/邙山/天河路与绿源路向西300米
                    ",2室,建面 95-140㎡,3室,建面 95-140㎡,,"
                        

                        
                            低单价
                        
                            低总价
                        
                            近主干道
                        
                            成熟商圈
                        
                    ",11000, 元/㎡(均价),总价115-250(万/套)
元正康郡,在售,住宅,"
                        荥阳市/荥阳城区/建设西路与郑西绕城高速交汇处东北方向
                    ",4室,建面 143-171㎡,建面 143-171㎡,,,"
                        

                        
                            购物方便
                        
                            娱乐丰富
                        
                            医疗配套
                        
                            VR看房
                        
                    ",9000, 元/㎡(均价),总价145-280(万/套)
九锦台,在售,住宅,"
                        金水区/海洋馆/文化路国基路交汇处西500米处
                    ",2室,建面 88-131㎡,3室,建面 88-131㎡,,"
                        

                        
                            公交直达
                        
                            配套齐全
                        
                            成熟商圈
                        
                            三甲医院
                        
                    ",15300, 元/㎡(均价),总价131-200(万/套)
泰宏建业国际城,在售,住宅,"
                        二七区/万客来/大学路与南三环交汇处向南1000米
                    ",2室,建面 59-142㎡,3室,4室,建面 59-142㎡,"
                        

                        
                            近主干道
                        
                            配套齐全
                        
                            购物方便
                        
                            医疗配套
                        
                    ",12000, 元/㎡(均价),总价70-220(万/套)
永威上和郡,在售,住宅,"
                        中牟县/绿博/郑东绿博创意园区人文路新城大道交会处东100米路南
                    ",3室,建面 133-216㎡,4室,5室,建面 133-216㎡,"
                        

                        
                            开发区
                        
                            购物方便
                        
                            娱乐丰富
                        
                            三甲医院
                        
                    ",15000, 元/㎡(均价),总价200-424(万/套)
正商智慧城,在售,住宅,"
                        新郑市/橄榄城/郑新快速路与绕城高速西北角
                    ",3室,建面 110-175㎡,4室,建面 110-175㎡,,"
                        

                        
                            地铁沿线
                        
                            近主干道
                        
                            购物方便
                        
                            娱乐丰富
                        
                    ",8800, 元/㎡(均价),总价100-210(万/套)
金沙湖高尔夫观邸,在售,住宅,"
                        郑州经济技术开发区/金沙湖高尔夫观邸/经南九路与第八大街交汇处
                    ",2室,建面 70-170㎡,3室,4室,建面 70-170㎡,"
                        

                        
                            配套齐全
                        
                            购物方便
                        
                            医疗配套
                        
                            3D楼书
                        
                    ",16000, 元/㎡(均价),总价98-280(万/套)
华瑞紫韵城,在售,住宅,"
                        中原区/中原万达/西四环以东、郑上路南北两侧
                    ",3室,建面 88-147㎡,4室,建面 88-147㎡,,"
                        

                        
                            公交直达
                        
                            多轨交汇
                        
                            配套齐全
                        
                            购物方便
                        
                    ",13800, 元/㎡(均价),总价138-202(万/套)
亚星金运外滩,在售,住宅,"
                        二七区/万客来/南三环与工人路交叉口
                    ",2室,建面 71-135㎡,3室,4室,建面 71-135㎡,"
                        

                        
                            公交直达
                        
                            临近高速
                        
                            配套齐全
                        
                            成熟商圈
                        
                    ",11500, 元/㎡(均价),总价78-189(万/套)
正弘中央公园,在售,住宅,"
                        航空港区/航空港商圈/通航路与凌风街交叉口西北角
                    ",3室,建面 89-143㎡,4室,建面 89-143㎡,,"
                        

                        
                            低总价
                        
                            地铁沿线
                        
                            公交直达
                        
                            配套齐全
                        
                    ",8200, 元/㎡(均价),总价67-132(万/套)
普罗理想国,在售,别墅,"
                        中牟县/绿博/郑开大道与雁鸣大道交汇处
                    ",4室,建面 200-390㎡,7室,建面 200-390㎡,,"
                        

                        
                            近主干道
                        
                            临近高速
                        
                            成熟商圈
                        
                            购物方便
                        
                    ",28000, 元/㎡(均价),总价475-1800(万/套)
正商河峪洲,在售,住宅,"
                        惠济区/邙山/西四环于北四环（大河路）交会处
                    ",3室,建面 89-125㎡,4室,建面 89-125㎡,,"
                        

                        
                            低单价
                        
                            低总价
                        
                            近主干道
                        
                            成熟商圈
                        
                    ",9500, 元/㎡(均价),总价95-150(万/套)
国泰观邸悦峰,在售,住宅,"
                        金水区/汽配大世界/金水区北三环与经三路交汇处向北100米
                    ",4室,建面 192-195㎡,建面 192-195㎡,,,"
                        

                        
                            公交直达
                        
                            近主干道
                        
                            配套齐全
                        
                            成熟商圈
                        
                    ",21000, 元/㎡(均价),总价384-390(万/套)
牛顿公馆,在售,商业类,"
                        二七区/万客来/嵩山南路与南三环交汇处向南800米
                    ",1室,建面 32-64㎡,建面 32-64㎡,,,"
                        

                        
                            公交直达
                        
                            近主干道
                        
                            购物方便
                        
                            娱乐丰富
                        
                    ",10000, 元/㎡(均价),总价30-60(万/套)
金水世纪城,在售,住宅,"
                        中原区/五龙口/西站路(金水西路)与秦岭路交汇处
                    ",3室,建面 86-140㎡,4室,建面 86-140㎡,,"
                        

                        
                            多轨交汇
                        
                            近主干道
                        
                            配套齐全
                        
                            成熟商圈
                        
                    ",13800, 元/㎡(均价),总价139-253(万/套)
山顶御景园,在售,住宅,"
                        航空港区/航空港商圈/郑港一路与郑港二街交叉口向南200米路西
                    ",3室,建面 83-188㎡,4室,建面 83-188㎡,,"
                        

                        
                            地铁沿线
                        
                            近主干道
                        
                            配套齐全
                        
                            购物方便
                        
                    ",9000, 元/㎡(均价),总价100-244(万/套)
银基国际旅游度假区,在售,住宅,"
                        新密市/新密市/郑尧高速密杞大道交汇处向南5公里
                    ",2室,建面 82-180㎡,3室,4室,建面 82-180㎡,"
                        

                        
                            多轨交汇
                        
                            近主干道
                        
                            成熟商圈
                        
                            购物方便
                        
                    ",7800, 元/㎡(均价),总价60-360(万/套)
中建林溪上郡,在售,住宅,"
                        航空港区/航空港商圈/长安路与飞航路交汇处，往西150米
                    ",3室,建面 92-200㎡,4室,建面 92-200㎡,,"
                        

                        
                            地铁沿线
                        
                            公交直达
                        
                            购物方便
                        
                            娱乐丰富
                        
                    ",8500, 元/㎡(均价),总价94-263(万/套)
青风公园二期,在售,住宅,"
                        郑州经济技术开发区/滨河国际新城商圈/经开区第十八大街与经南十二路交汇处
                    ",3室,建面 123-196㎡,5室,建面 123-196㎡,,"
                        

                        
                            近主干道
                        
                            购物方便
                        
                            美食云集
                        
                            三甲医院
                        
                    ",16000, 元/㎡(均价),总价200-445(万/套)
翡翠明珠二期,在售,住宅,"
                        中牟县/中牟城区/文博路与文通路交叉口往南100米路东
                    ",3室,建面 77-201㎡,建面 77-201㎡,,,"
                        

                        
                            近主干道
                        
                            配套齐全
                        
                            购物方便
                        
                            医疗配套
                        
                    ",9500, 元/㎡(均价),总价98-185(万/套)
龙吟世家,在售,住宅,"
                        上街区/上街区/新乡路与金华路交叉口向南50米
                    ",3室,建面 110-142㎡,4室,建面 110-142㎡,,"
                        

                        
                            低单价
                        
                            低总价
                        
                            公交直达
                        
                            近主干道
                        
                    ",4500, 元/㎡(均价),总价61-99(万/套)
绿地香颂,在售,别墅,"
                        中牟县/中牟城区/雁鸣大道与高尔夫路交会处西北角
                    ",3室,建面 137-382㎡,4室,5室,建面 137-382㎡,"
                        

                        
                            低单价
                        
                            低总价
                        
                            近主干道
                        
                            品牌房企
                        
                    ",16000, 元/㎡(均价),总价190-916(万/套)
融侨悦澜庭,在售,住宅,"
                        二七区/万客来/嵩山南路与南三环交汇处南2公里路西
                    ",3室,建面 82-136㎡,4室,建面 82-136㎡,,"
                        

                        
                            低单价
                        
                            低总价
                        
                            公交直达
                        
                            近主干道
                        
                    ",10500, 元/㎡(均价),总价92-150(万/套)
绿地花语城,在售,住宅,"
                        管城回族区/橄榄城/郑新路南四环向南1000米
                    ",2室,建面 84-141㎡,3室,4室,建面 84-141㎡,"
                        

                        
                            低单价
                        
                            低总价
                        
                            近主干道
                        
                            购物方便
                        
                    ",11000, 元/㎡(均价),总价96-205(万/套)
正商滨河铭筑,在售,商业类,"
                        郑州经济技术开发区/滨河国际新城商圈/经开十五大街与经南十路交会处
                    ",1室,建面 37-39㎡,建面 37-39㎡,,,"
                        

                        
                            低总价
                        
                            公交直达
                        
                            近主干道
                        
                            购物方便
                        
                    ",9500, 元/㎡(均价),总价33-35(万/套)
东润城,在售,住宅,"
                        郑东新区/白沙/郑州市郑东新区白沙园区云台路东、白沙路北、贺庄路西
                    ",3室,建面 89-129㎡,建面 89-129㎡,,,"
                        

                        
                            低总价
                        
                            多轨交汇
                        
                            近主干道
                        
                            配套齐全
                        
                    ",12000, 元/㎡(均价),总价106-187(万/套)
盛澳金尊府,在售,住宅,"
                        管城回族区/阳光城/航海路与腾飞路交汇处向南300米
                    ",3室,建面 119-202㎡,4室,建面 119-202㎡,,"
                        

                        
                            地铁沿线
                        
                            近主干道
                        
                            配套齐全
                        
                            成熟商圈
                        
                    ",18500, 元/㎡(均价),总价225.5-505(万/套)
保利文化广场,在售,住宅,"
                        郑州高新技术产业开发区/高新公园道/科学大道与雪松路交叉口向北100米路东
                    ",3室,建面 104-177㎡,4室,建面 104-177㎡,,"
                        

                        
                            地铁沿线
                        
                            多轨交汇
                        
                            配套齐全
                        
                            成熟商圈
                        
                    ",15500, 元/㎡(均价),总价156-295(万/套)
路劲九郡,在售,住宅,"
                        中牟县/中牟城区/文博路与新圃街交叉口向东200米路北
                    ",3室,建面 80-189㎡,4室,5室,建面 80-189㎡,"
                        

                        
                            近主干道
                        
                            配套齐全
                        
                            成熟商圈
                        
                            医疗配套
                        
                    ",8300, 元/㎡(均价),总价96-199(万/套)
永威上和郡,在售,别墅,"
                        中牟县/绿博/郑东绿博创意园区人文路新城大道交会处东100米路南
                    ",4室,建面 274-375㎡,5室,建面 274-375㎡,,"
                        

                        
                            开发区
                        
                            购物方便
                        
                            娱乐丰富
                        
                            三甲医院
                        
                    ",25000, 元/㎡(均价),总价690-937(万/套)
